Time,Input,Output
1.4250000000000001e-06,(-0.19201577052570948+0.06411934160623672j),(1.113-1.24827j)
1.43e-06,(-0.19384127491707745+0.08488395401119282j),(1.06375-1.39853j)
1.435e-06,(-0.10348080773178013+0.15196979581416448j),(0.152306-1.50242j)
1.44e-06,(-0.017341891680512193+0.2684562666799678j),(-0.954853-1.96585j)
1.445e-06,(-0.0013690971794995043+0.35060174186106086j),(-1.53967-2.07441j)
1.45e-06,(-0.009925952328940798+0.29926137548049614j),(-1.19623-2.0379j)
1.455e-06,(0.04632100715496819+0.12196365076904986j),(-0.809572-0.732862j)
1.46e-06,(0.16337886489564446-0.052482028915073885j),(-0.934949+1.01288j)
1.465e-06,(0.2209949304487748-0.10496405783014776j),(-1.16365+1.65144j)
1.4700000000000001e-06,(0.11762813340031232-0.0541933003800769j),(-0.662534+0.874529j)
1.475e-06,(-0.09321273445566726-0.020992811566029546j),(0.712457-0.233839j)
1.48e-06,(-0.23593988641443617-0.07176339122166249j),(1.9775-0.45731j)
1.485e-06,(-0.1882507510596553-0.13713773931658382j),(1.94022+0.222674j)
1.4900000000000001e-06,(-0.0014831878703142763-0.1132928382746222j),(0.510387+0.837546j)
1.495e-06,(0.1638351298719628-0.014945978283679523j),(-1.10106+0.808175j)
1.5e-06,(0.20023031804381866+0.023959133968326742j),(-1.54848+0.64956j)
1.505e-06,(0.12972193331084084-0.08705171269556156j),(-0.598713+1.12854j)
1.51e-06,(0.03913344475890808-0.2702831045296203j),(0.812103+2.04534j)
1.5150000000000001e-06,(-0.01859689816919684-0.3560800329795446j),(1.68014+1.99099j)
1.52e-06,(-0.04073070554059339-0.26994085023661973j),(1.39137+1.74977j)
1.525e-06,(-0.031603405826799984-0.10359504065814536j),(0.639889+0.662615j)
1.53e-06,(0.009469576231098738+0.0036509198855173572j),(-0.0837019+0.0393709j)
1.5350000000000001e-06,(0.05442154398975979+0.014603701766374181j),(-0.446438+0.120497j)
1.54e-06,(0.049173274425338157-0.008214569742414055j),(-0.323855+0.253703j)
1.545e-06,(-0.01893917468650223-0.021106911146566244j),(0.209028+0.0687232j)
1.55e-06,(-0.07815265659145104-0.051683287402707556j),(0.76664+0.0475323j)
1.555e-06,(-0.04232796632227868-0.11660137052131053j),(0.793085+0.664173j)
1.56e-06,(0.07073662834266063-0.1435270046863723j),(0.0947865+1.33287j)
1.565e-06,(0.1331446984838943-0.04073070554059338j),(-0.796648+0.864027j)
1.57e-06,(0.051911531012390384+0.15653333454953752j),(-1.04518-0.889267j)
1.575e-06,(-0.10325278636514479+0.27359008107497684j),(-0.476662-2.26581j)
1.5800000000000001e-06,(-0.1654323906536481+0.17649942768517482j),(0.476175-1.97994j)
1.585e-06,(-0.07244812205071108-0.05864305067517955j),(0.803453+0.0864298j)
1.59e-06,(0.04529424427596635-0.20627710687755912j),(0.545481+1.65956j)
1.595e-06,(0.019851904657881544-0.13131919409252613j),(0.37745+1.05108j)
1.6e-06,(-0.13417146136289615+0.06719985248628949j),(0.653526-0.999006j)
1.605e-06,(-0.21380714580966725+0.1775261905641765j),(0.756801-2.1068j)
